model,token,position,relative_position,seq_length,delta
ordinary_baseline,(,10,0.2777777777777778,36,0.5174717903137207
ordinary_baseline,N,11,0.3055555555555556,36,0.6047096252441406
ordinary_baseline,C,12,0.3333333333333333,36,0.6621594429016113
ordinary_baseline,(,13,0.3611111111111111,36,0.6904950141906738
ordinary_baseline,=,14,0.3888888888888889,36,0.7035799026489258
ordinary_baseline,O,15,0.4166666666666667,36,0.41915464401245117
ordinary_baseline,),16,0.4444444444444444,36,0.5126748085021973
ordinary_baseline,N,17,0.4722222222222222,36,0.5306634902954102
ordinary_baseline,C,18,0.5,36,0.4807004928588867
ordinary_baseline,C,19,0.5277777777777778,36,0.4807004928588867
ordinary_baseline,C,20,0.5555555555555556,36,0.4807004928588867
ordinary_baseline,C,21,0.5833333333333334,36,0.4807004928588867
ordinary_baseline,C,22,0.6111111111111112,36,0.4807004928588867
ordinary_baseline,C,23,0.6388888888888888,36,0.4807004928588867
ordinary_baseline,N,24,0.6666666666666666,36,0.510169506072998
ordinary_baseline,C,25,0.6944444444444444,36,0.4251418113708496
ordinary_baseline,(,26,0.7222222222222222,36,0.4510006904602051
ordinary_baseline,[*],27,0.75,36,0.4485445022583008
ordinary_baseline,),28,0.7777777777777778,36,0.4312419891357422
ordinary_baseline,=,29,0.8055555555555556,36,0.46518993377685547
ordinary_baseline,O,30,0.8333333333333334,36,0.06362724304199219
ordinary_baseline,),31,0.8611111111111112,36,0.24544239044189453
ordinary_baseline,c,32,0.8888888888888888,36,0.36168861389160156
ordinary_baseline,c,33,0.9166666666666666,36,0.36168861389160156
ordinary_baseline,1,34,0.9444444444444444,36,0.4713401794433594
ordinary_baseline,Cl,35,0.9722222222222222,36,0.3460545539855957
ordinary_baseline,[*],0,0.0,38,0.4462575912475586
ordinary_baseline,C,1,0.02631578947368421,38,0.6511693000793457
ordinary_baseline,C,2,0.05263157894736842,38,0.6511693000793457
ordinary_baseline,C,3,0.07894736842105263,38,0.6511693000793457
ordinary_baseline,O,4,0.10526315789473684,38,0.5927557945251465
ordinary_baseline,C,5,0.13157894736842105,38,0.7020416259765625
ordinary_baseline,(,6,0.15789473684210525,38,0.6644024848937988
ordinary_baseline,=,7,0.18421052631578946,38,0.43810129165649414
ordinary_baseline,O,8,0.21052631578947367,38,0.5498442649841309
ordinary_baseline,),9,0.23684210526315788,38,0.38153886795043945
ordinary_baseline,c,10,0.2631578947368421,38,0.3896217346191406
ordinary_baseline,1,11,0.2894736842105263,38,0.37519073486328125
ordinary_baseline,c,12,0.3157894736842105,38,0.1949911117553711
ordinary_baseline,c,13,0.34210526315789475,38,0.1949911117553711
ordinary_baseline,c,14,0.3684210526315789,38,0.1949911117553711
ordinary_baseline,c,15,0.39473684210526316,38,0.1949911117553711
ordinary_baseline,(,16,0.42105263157894735,38,0.11601400375366211
ordinary_baseline,-,17,0.4473684210526316,38,0.018483638763427734
ordinary_baseline,c,18,0.47368421052631576,38,0.2202777862548828
ordinary_baseline,2,19,0.5,38,0.13498544692993164
ordinary_baseline,c,20,0.5263157894736842,38,0.11376142501831055
ordinary_baseline,c,21,0.5526315789473685,38,0.11376142501831055
ordinary_baseline,c,22,0.5789473684210527,38,0.11376142501831055
ordinary_baseline,c,23,0.6052631578947368,38,0.11376142501831055
ordinary_baseline,(,24,0.631578947368421,38,0.07490110397338867
ordinary_baseline,C,25,0.6578947368421053,38,0.01976633071899414
ordinary_baseline,(,26,0.6842105263157895,38,0.0016427040100097656
ordinary_baseline,=,27,0.7105263157894737,38,0.1847062110900879
ordinary_baseline,O,28,0.7368421052631579,38,0.2395343780517578
ordinary_baseline,),29,0.7631578947368421,38,0.0558009147644043
ordinary_baseline,O,30,0.7894736842105263,38,0.2114577293395996
ordinary_baseline,[*],31,0.8157894736842105,38,0.07633161544799805
ordinary_baseline,),32,0.8421052631578947,38,0.10758495330810547
ordinary_baseline,c,33,0.868421052631579,38,0.18743467330932617
ordinary_baseline,2,34,0.8947368421052632,38,0.29462671279907227
ordinary_baseline,),35,0.9210526315789473,38,0.039762020111083984
ordinary_baseline,c,36,0.9473684210526315,38,0.08002901077270508
ordinary_baseline,1,37,0.9736842105263158,38,0.031640052795410156
ordinary_baseline,[*],0,0.0,20,2.323615074157715
ordinary_baseline,C,1,0.05,20,2.3913488388061523
ordinary_baseline,=,2,0.1,20,4.089692115783691
ordinary_baseline,C,3,0.15,20,0.5306529998779297
ordinary_baseline,(,4,0.2,20,0.4456026554107666
ordinary_baseline,[*],5,0.25,20,0.4752357006072998
ordinary_baseline,),6,0.3,20,0.44789743423461914
ordinary_baseline,c,7,0.35,20,0.3957860469818115
