source_id,model,strategy,budget,best_drift,oracle_drift,recovery_ratio,hit
poly_45,mixed_robust,random,5,1.148944616317749,1.14894437789917,1.0000002075109846,1
poly_3063,mixed_robust,random,5,1.298377513885498,1.298377513885498,1.0,1
poly_903,mixed_robust,random,5,0.6046040058135986,0.997765064239502,0.6059582836511005,0
poly_3763,mixed_robust,random,5,1.6764447689056396,1.6764450073242188,0.9999998577832389,1
poly_990,mixed_robust,random,5,0.04101920127868652,0.3455514907836914,0.11870648043120079,0
poly_1689,mixed_robust,random,5,0.08768320083618164,1.6448731422424316,0.05330696853414751,0
poly_2093,mixed_robust,random,5,0.08282995223999023,0.5100746154785156,0.1623879129179661,0
poly_3799,mixed_robust,random,5,0.2531623840332031,0.5559983253479004,0.4553294002725527,0
poly_930,mixed_robust,random,5,0.2961845397949219,1.4997057914733887,0.19749509635748944,0
poly_3620,mixed_robust,random,5,0.5518770217895508,1.5884900093078613,0.34742240653437617,0
poly_2098,mixed_robust,random,5,0.21639180183410645,1.3841173648834229,0.15633920021827918,0
poly_1493,mixed_robust,random,5,0.1724553108215332,0.9373188018798828,0.18398789235386884,0
poly_1294,mixed_robust,random,5,0.4064946174621582,1.7655401229858398,0.23023810797044028,0
poly_2531,mixed_robust,random,5,0.5351419448852539,1.7408580780029297,0.3074012474923607,0
poly_514,mixed_robust,random,5,0.31035852432250977,0.6138842105865479,0.5055652498798944,0
poly_244,mixed_robust,random,5,1.1607789993286133,1.756368637084961,0.6608971344735205,0
poly_466,mixed_robust,random,5,0.37722134590148926,0.6477854251861572,0.5823245340740498,0
poly_1171,mixed_robust,random,5,0.07372474670410156,0.5409440994262695,0.13628903020163216,0
poly_3842,mixed_robust,random,5,0.6446285247802734,1.2236480712890625,0.5268087613632112,0
poly_3552,mixed_robust,random,5,0.5581293106079102,1.4743075370788574,0.37857047906963054,0
poly_1117,mixed_robust,random,5,0.5024521350860596,0.7504987716674805,0.6694909492918909,0
poly_3629,mixed_robust,random,5,0.7581748962402344,0.7709383964538574,0.9834442021926366,0
