source_id,type,token,position,delta
3634,clean,c,18,0.010985851287841797
3634,clean,c,19,0.010985851287841797
3634,clean,c,20,0.010985851287841797
3634,clean,(,21,0.0482940673828125
3634,clean,-,22,0.08395910263061523
3634,clean,c,23,0.022784709930419922
3634,clean,2,24,0.04525279998779297
3634,clean,c,25,0.03134632110595703
3634,clean,c,26,0.03134632110595703
3634,clean,c,27,0.03134632110595703
3634,clean,(,28,0.18571805953979492
3634,clean,C,29,0.17609024047851562
3634,clean,(,30,0.021220684051513672
3634,clean,=,31,0.29334354400634766
3634,clean,O,32,0.04132890701293945
3634,clean,),33,0.04413747787475586
3634,clean,O,34,0.09828424453735352
3634,clean,[*],35,0.22274541854858398
3634,clean,),36,0.13626384735107422
3634,clean,c,37,0.11156320571899414
3634,clean,c,38,0.11156320571899414
3634,clean,2,39,0.09383344650268555
3634,clean,),40,0.19832849502563477
3634,clean,c,41,0.006012439727783203
3634,clean,c,42,0.006012439727783203
3634,clean,1,43,0.033757686614990234
3634,mcmc_adv,[*],0,0.36835646629333496
3634,mcmc_adv,C,1,0.3714320659637451
3634,mcmc_adv,C,2,0.3714320659637451
3634,mcmc_adv,C,3,0.3714320659637451
3634,mcmc_adv,C,4,0.3714320659637451
3634,mcmc_adv,C,5,0.3714320659637451
3634,mcmc_adv,C,6,0.3714320659637451
3634,mcmc_adv,C,7,0.3714320659637451
3634,mcmc_adv,O,8,0.4715428352355957
3634,mcmc_adv,S,9,0.14714908599853516
3634,mcmc_adv,(,10,0.06395101547241211
3634,mcmc_adv,=,11,0.4091348648071289
3634,mcmc_adv,O,12,0.1476602554321289
3634,mcmc_adv,),13,0.2588930130004883
3634,mcmc_adv,c,14,0.2685360908508301
3634,mcmc_adv,1,15,0.008760929107666016
3634,mcmc_adv,c,16,0.0495152473449707
3634,mcmc_adv,c,17,0.0495152473449707
3634,mcmc_adv,c,18,0.0495152473449707
3634,mcmc_adv,(,19,0.03342866897583008
3634,mcmc_adv,-,20,0.09667444229125977
3634,mcmc_adv,c,21,0.029315471649169922
3634,mcmc_adv,2,22,0.03241252899169922
3634,mcmc_adv,c,23,0.09258270263671875
3634,mcmc_adv,c,24,0.09258270263671875
3634,mcmc_adv,c,25,0.09258270263671875
3634,mcmc_adv,(,26,0.20752477645874023
3634,mcmc_adv,C,27,0.18832778930664062
3634,mcmc_adv,(,28,0.1618795394897461
3634,mcmc_adv,=,29,0.37387561798095703
3634,mcmc_adv,O,30,0.06769418716430664
3634,mcmc_adv,),31,0.03315305709838867
3634,mcmc_adv,[*],32,0.17134332656860352
3634,mcmc_adv,),33,0.06311941146850586
3634,mcmc_adv,c,34,0.051502227783203125
3634,mcmc_adv,c,35,0.051502227783203125
3634,mcmc_adv,2,36,0.26027679443359375
3634,mcmc_adv,),37,0.12260627746582031
3634,mcmc_adv,c,38,0.19867372512817383
3634,mcmc_adv,c,39,0.19867372512817383
3634,mcmc_adv,1,40,0.04896688461303711
3644,clean,[*],0,0.9118165969848633
3644,clean,C,1,0.9820795059204102
3644,clean,=,2,0.8763318061828613
3644,clean,C,3,0.04964113235473633
3644,clean,C,4,0.04964113235473633
3644,clean,1,5,0.07066631317138672
